Components,Reuse same location,Reuse diff location,Repair same location,Repair diff location,Refurbish,Repurpose,Recycle,Redistribute,chartvalue
Ceiling,0.00,1.91,0.96,2.87,5.12,7.70,,,19.10
Door,0.00,2.42,1.21,3.630,,,,,23.40
Wall,0.00,10.10,5.05,15.15,20.28,40.79,,,101.00
Floor Panels,0.00,1.295,0.63,1.890,2.520,3.78,,,12.60
Lights,0.00,1.51,0.76,2.27,3.02,6.06,,,15.10
Pedestals,,,,,,,,,
